   1.0000000e-03   1.2868302e+00   1.4069830e+00
   1.0100000e-01   7.2181667e-01   1.4287560e+00
   2.0100000e-01   5.3883135e-01   1.4552247e+00
   3.0100000e-01   4.4218375e-01   1.4790676e+00
   4.0100000e-01   3.8075679e-01   1.5004284e+00
   5.0100000e-01   3.3759417e-01   1.5197814e+00
   6.0100000e-01   3.0527772e-01   1.5375167e+00
   7.0100000e-01   2.7999557e-01   1.5539275e+00
   8.0100000e-01   2.5956828e-01   1.5692345e+00
   9.0100000e-01   2.4265064e-01   1.5836063e+00
   1.0010000e+00   2.2836300e-01   1.5971748e+00
   1.1010000e+00   2.1610360e-01   1.6100445e+00
   1.2010000e+00   2.0544547e-01   1.6223001e+00
   1.3010000e+00   1.9607651e-01   1.6340110e+00
   1.4010000e+00   1.8776274e-01   1.6452349e+00
   1.5010000e+00   1.8032500e-01   1.6560204e+00
   1.6010000e+00   1.7362355e-01   1.6664087e+00
   1.7010000e+00   1.6754764e-01   1.6764353e+00
   1.8010000e+00   1.6200825e-01   1.6861306e+00
   1.9010000e+00   1.5693294e-01   1.6955214e+00
   2.0010000e+00   1.5226211e-01   1.7046310e+00
   2.1010000e+00   1.4794621e-01   1.7134802e+00
   2.2010000e+00   1.4394370e-01   1.7220871e+00
   2.3010000e+00   1.4021945e-01   1.7304682e+00
   2.4010000e+00   1.3674354e-01   1.7386381e+00
   2.5010000e+00   1.3349033e-01   1.7466100e+00
   2.6010000e+00   1.3043767e-01   1.7543957e+00
   2.7010000e+00   1.2756635e-01   1.7620062e+00
   2.8010000e+00   1.2485959e-01   1.7694511e+00
   2.9010000e+00   1.2230272e-01   1.7767396e+00
